coef;scartati;esatti;sbagliati;accuratezza;
0,0; 	       0;  	   588;   	    312; 		0,653;
0,1; 	      10;  	   587;   	    303; 		0,660;
0,2; 	      80;  	   569;   	    251; 		0,694;
0,3; 	     174;  	   533;   	    193; 		0,734;
0,4; 	     254;  	   505;   	    141; 		0,782;
0,5; 	     312;  	   478;   	    110; 		0,813;
0,6; 	     381;  	   437;   	     82; 		0,842;
0,7; 	     431;  	   408;   	     61; 		0,870;
0,8; 	     489;  	   364;   	     47; 		0,886;
0,9; 	     550;  	   317;   	     33; 		0,906;
1,0; 	     829;  	    71;   	      0; 		1,000;
